index,L1 norm,Treatment
82,2.034,NO-PRIME
83,2.1100000000000003,NO-PRIME
84,1.6080000000000003,NO-PRIME
85,1.6040000000000003,NO-PRIME
86,1.5290000000000006,NO-PRIME
87,2.25,NO-PRIME
88,2.1670000000000003,NO-PRIME
89,2.139,NO-PRIME
90,3.2670000000000003,NO-PRIME
91,1.6150000000000002,NO-PRIME
92,1.611,NO-PRIME
93,1.5360000000000005,NO-PRIME
94,2.2569999999999997,NO-PRIME
95,2.1739999999999995,NO-PRIME
96,2.146,NO-PRIME
97,3.274,NO-PRIME
98,1.0390000000000001,NO-PRIME
99,1.0810000000000002,NO-PRIME
100,1.1320000000000003,NO-PRIME
101,1.681,NO-PRIME
102,1.6280000000000001,NO-PRIME
103,1.5899999999999999,NO-PRIME
104,2.6980000000000004,NO-PRIME
105,1.0120000000000005,NO-PRIME
106,1.0540000000000003,NO-PRIME
107,1.1590000000000003,NO-PRIME
108,1.654,NO-PRIME
109,1.601,NO-PRIME
110,1.5630000000000002,NO-PRIME
111,2.6710000000000003,NO-PRIME
112,1.592,NO-PRIME
113,1.5879999999999999,NO-PRIME
114,1.5130000000000003,NO-PRIME
115,2.234,NO-PRIME
116,2.151,NO-PRIME
117,2.1229999999999998,NO-PRIME
118,3.2510000000000003,NO-PRIME
0,1.1960000000000002,PRIME BOOST
1,1.2690000000000003,PRIME BOOST
2,1.796,PRIME BOOST
3,1.743,PRIME BOOST
4,1.705,PRIME BOOST
5,2.8130000000000006,PRIME BOOST
6,1.2970000000000004,PRIME BOOST
7,1.838,PRIME BOOST
8,1.7550000000000003,PRIME BOOST
9,1.7269999999999999,PRIME BOOST
10,2.8550000000000004,PRIME BOOST
11,1.7510000000000001,PRIME BOOST
12,1.79,PRIME BOOST
13,1.832,PRIME BOOST
14,2.7920000000000007,PRIME BOOST
15,0.4389999999999996,PRIME BOOST
16,0.5089999999999995,PRIME BOOST
17,3.333,PRIME BOOST
18,0.4159999999999995,PRIME BOOST
19,3.402,PRIME BOOST
20,3.364,PRIME BOOST
0,2.439,SINGLE LAIV
1,1.533,SINGLE LAIV
2,2.1979999999999995,SINGLE LAIV
3,1.526,SINGLE LAIV
4,2.775,SINGLE LAIV
5,1.422,SINGLE LAIV
6,1.8760000000000003,SINGLE LAIV
7,3.8379999999999983,SINGLE LAIV
8,3.6789999999999994,SINGLE LAIV
9,2.374999999999999,SINGLE LAIV
10,2.099,SINGLE LAIV
11,3.2399999999999998,SINGLE LAIV
12,3.1239999999999997,SINGLE LAIV
13,1.735,SINGLE LAIV
14,2.5389999999999997,SINGLE LAIV
15,1.2269999999999999,SINGLE LAIV
16,2.321,SINGLE LAIV
17,1.272,SINGLE LAIV
18,1.605,SINGLE LAIV
19,1.8210000000000002,SINGLE LAIV
20,3.0700000000000003,SINGLE LAIV
21,1.717,SINGLE LAIV
22,2.1710000000000007,SINGLE LAIV
23,4.132999999999998,SINGLE LAIV
24,3.9739999999999993,SINGLE LAIV
25,2.6699999999999995,SINGLE LAIV
26,2.394,SINGLE LAIV
27,3.535,SINGLE LAIV
28,3.3729999999999993,SINGLE LAIV
29,1.984,SINGLE LAIV
30,2.7880000000000003,SINGLE LAIV
31,1.5220000000000002,SINGLE LAIV
32,2.5700000000000007,SINGLE LAIV
33,0.8509999999999996,SINGLE LAIV
34,1.061,SINGLE LAIV
35,2.31,SINGLE LAIV
36,0.9570000000000001,SINGLE LAIV
37,1.4110000000000003,SINGLE LAIV
38,3.3729999999999984,SINGLE LAIV
39,3.2139999999999995,SINGLE LAIV
40,1.9099999999999993,SINGLE LAIV
41,1.634,SINGLE LAIV
42,2.775,SINGLE LAIV
43,2.659,SINGLE LAIV
44,1.27,SINGLE LAIV
45,2.074,SINGLE LAIV
46,0.762,SINGLE LAIV
47,1.8560000000000003,SINGLE LAIV
48,1.706,SINGLE LAIV
49,2.879,SINGLE LAIV
50,1.5459999999999998,SINGLE LAIV
51,2.0,SINGLE LAIV
52,3.961999999999998,SINGLE LAIV
53,3.802999999999999,SINGLE LAIV
54,2.5549999999999993,SINGLE LAIV
55,2.279,SINGLE LAIV
56,3.364,SINGLE LAIV
57,3.1359999999999992,SINGLE LAIV
58,1.859,SINGLE LAIV
59,2.663,SINGLE LAIV
60,1.407,SINGLE LAIV
61,2.5010000000000003,SINGLE LAIV
62,1.693,SINGLE LAIV
63,0.52,SINGLE LAIV
64,1.2440000000000002,SINGLE LAIV
65,3.177999999999998,SINGLE LAIV
66,3.0189999999999992,SINGLE LAIV
67,1.7149999999999994,SINGLE LAIV
68,1.439,SINGLE LAIV
69,2.58,SINGLE LAIV
70,2.4639999999999995,SINGLE LAIV
71,1.0750000000000002,SINGLE LAIV
72,1.879,SINGLE LAIV
73,0.5670000000000001,SINGLE LAIV
74,1.6610000000000003,SINGLE LAIV
75,1.9170000000000003,SINGLE LAIV
76,2.081,SINGLE LAIV
77,4.040999999999999,SINGLE LAIV
78,3.8819999999999992,SINGLE LAIV
79,2.9639999999999995,SINGLE LAIV
80,2.6879999999999997,SINGLE LAIV
81,3.4429999999999996,SINGLE LAIV
82,3.3269999999999995,SINGLE LAIV
83,2.2039999999999997,SINGLE LAIV
84,3.032,SINGLE LAIV
85,1.8159999999999998,SINGLE LAIV
86,2.91,SINGLE LAIV
87,0.9140000000000001,SINGLE LAIV
88,2.9799999999999986,SINGLE LAIV
89,2.8209999999999993,SINGLE LAIV
90,1.6109999999999993,SINGLE LAIV
91,1.335,SINGLE LAIV
92,2.3819999999999997,SINGLE LAIV
93,2.266,SINGLE LAIV
94,0.8770000000000001,SINGLE LAIV
95,1.681,SINGLE LAIV
96,0.463,SINGLE LAIV
97,1.5570000000000002,SINGLE LAIV
98,2.627999999999999,SINGLE LAIV
99,2.469,SINGLE LAIV
100,2.0929999999999995,SINGLE LAIV
101,1.8170000000000002,SINGLE LAIV
102,2.0300000000000002,SINGLE LAIV
103,1.9140000000000001,SINGLE LAIV
104,1.3330000000000002,SINGLE LAIV
105,2.161,SINGLE LAIV
106,0.9450000000000003,SINGLE LAIV
107,2.0390000000000006,SINGLE LAIV
108,3.070999999999998,SINGLE LAIV
109,2.5109999999999975,SINGLE LAIV
110,2.2349999999999985,SINGLE LAIV
111,1.727999999999998,SINGLE LAIV
112,3.6279999999999983,SINGLE LAIV
113,3.2669999999999986,SINGLE LAIV
114,4.094999999999998,SINGLE LAIV
115,2.8789999999999982,SINGLE LAIV
116,3.9729999999999985,SINGLE LAIV
117,3.0199999999999987,SINGLE LAIV
118,2.7439999999999998,SINGLE LAIV
119,2.9189999999999987,SINGLE LAIV
120,3.651,SINGLE LAIV
121,3.1079999999999997,SINGLE LAIV
122,3.935999999999999,SINGLE LAIV
123,2.7199999999999993,SINGLE LAIV
124,3.8139999999999996,SINGLE LAIV
125,0.6859999999999992,SINGLE LAIV
126,1.8269999999999993,SINGLE LAIV
127,3.312999999999999,SINGLE LAIV
128,1.9239999999999995,SINGLE LAIV
129,2.7279999999999993,SINGLE LAIV
130,1.4159999999999995,SINGLE LAIV
131,2.51,SINGLE LAIV
132,1.1909999999999998,SINGLE LAIV
133,3.037,SINGLE LAIV
134,1.6480000000000001,SINGLE LAIV
135,2.452,SINGLE LAIV
136,1.1400000000000001,SINGLE LAIV
137,2.234,SINGLE LAIV
138,3.0299999999999994,SINGLE LAIV
139,2.6689999999999996,SINGLE LAIV
140,3.497,SINGLE LAIV
141,2.2809999999999997,SINGLE LAIV
142,3.375,SINGLE LAIV
143,1.8709999999999998,SINGLE LAIV
144,1.8569999999999993,SINGLE LAIV
145,2.1649999999999996,SINGLE LAIV
146,2.4050000000000002,SINGLE LAIV
147,1.42,SINGLE LAIV
148,0.7280000000000001,SINGLE LAIV
149,1.2100000000000002,SINGLE LAIV
150,1.58,SINGLE LAIV
151,1.9380000000000008,SINGLE LAIV
152,1.328,SINGLE LAIV
0,1.1809999999999996,NO VAC
1,1.2989999999999997,NO VAC
2,1.7189999999999976,NO VAC
3,3.2199999999999993,NO VAC
4,3.5409999999999995,NO VAC
5,3.1769999999999996,NO VAC
6,4.284999999999999,NO VAC
7,4.051999999999998,NO VAC
8,3.6029999999999993,NO VAC
9,4.041999999999999,NO VAC
10,3.608999999999999,NO VAC
11,3.225999999999999,NO VAC
12,3.256999999999999,NO VAC
13,2.656999999999999,NO VAC
14,3.1839999999999993,NO VAC
15,3.2299999999999995,NO VAC
16,0.34799999999999986,NO VAC
17,0.6859999999999982,NO VAC
18,2.327,NO VAC
19,2.648,NO VAC
20,2.284,NO VAC
21,3.3919999999999995,NO VAC
22,3.159,NO VAC
23,2.6100000000000003,NO VAC
24,3.019,NO VAC
25,2.5860000000000003,NO VAC
26,2.333,NO VAC
27,2.3640000000000003,NO VAC
28,1.634,NO VAC
29,2.161,NO VAC
30,2.3369999999999997,NO VAC
31,0.8179999999999992,NO VAC
32,2.231,NO VAC
33,2.552,NO VAC
34,2.188,NO VAC
35,3.296,NO VAC
36,3.0629999999999997,NO VAC
