index,Shared_proportion,Group
67,0.05263157894736842,Random pairs
68,0.0625,Random pairs
69,0.07407407407407407,Random pairs
70,0.08333333333333333,Random pairs
71,0.1111111111111111,Random pairs
72,0.09523809523809523,Random pairs
73,0.1111111111111111,Random pairs
74,0.16666666666666666,Random pairs
75,0.07692307692307693,Random pairs
76,0.08695652173913043,Random pairs
77,0.11764705882352941,Random pairs
78,0.0,Random pairs
79,0.09523809523809523,Random pairs
80,0.09090909090909091,Random pairs
81,0.0,Random pairs
82,0.21428571428571427,Random pairs
83,0.2,Random pairs
84,0.0,Random pairs
85,0.2727272727272727,Random pairs
86,0.25,Random pairs
87,0.0,Random pairs
88,0.14814814814814814,Random pairs
89,0.13793103448275862,Random pairs
90,0.09090909090909091,Random pairs
91,0.13333333333333333,Random pairs
92,0.16666666666666666,Random pairs
93,0.06896551724137931,Random pairs
94,0.041666666666666664,Random pairs
95,0.05714285714285714,Random pairs
96,0.0,Random pairs
97,0.11764705882352941,Random pairs
98,0.19047619047619047,Random pairs
99,0.07692307692307693,Random pairs
100,0.14285714285714285,Random pairs
101,0.26666666666666666,Random pairs
102,0.1,Random pairs
103,0.06060606060606061,Random pairs
104,0.1,Random pairs
105,0.08,Random pairs
106,0.0,Random pairs
107,0.0,Random pairs
108,0.0,Random pairs
109,0.0,Random pairs
110,0.0,Random pairs
111,0.0,Random pairs
112,0.0,Random pairs
113,0.0,Random pairs
114,0.0,Random pairs
115,0.0,Random pairs
116,0.0,Random pairs
117,0.0,Random pairs
118,0.0,Random pairs
119,0.0,Random pairs
120,0.0,Random pairs
121,0.0,Random pairs
122,0.0,Random pairs
123,0.07142857142857142,Random pairs
124,0.06666666666666667,Random pairs
125,0.0,Random pairs
126,0.028985507246376812,Random pairs
127,0.028169014084507043,Random pairs
128,0.0,Random pairs
129,0.06666666666666667,Random pairs
130,0.028169014084507043,Random pairs
131,0.0,Random pairs
132,0.0,Random pairs
133,0.0,Random pairs
134,0.058823529411764705,Random pairs
135,0.09523809523809523,Random pairs
136,0.0,Random pairs
137,0.02666666666666667,Random pairs
138,0.03225806451612903,Random pairs
139,0.0,Random pairs
140,0.0,Random pairs
141,0.0,Random pairs
142,0.0,Random pairs
143,0.0,Random pairs
144,0.06896551724137931,Random pairs
145,0.06451612903225806,Random pairs
146,0.0625,Random pairs
147,0.15384615384615385,Random pairs
148,0.14285714285714285,Random pairs
149,0.07692307692307693,Random pairs
150,0.2,Random pairs
151,0.18181818181818182,Random pairs
152,0.12903225806451613,Random pairs
153,0.14285714285714285,Random pairs
154,0.2727272727272727,Random pairs
155,0.0,Random pairs
156,0.0,Random pairs
157,0.0,Random pairs
158,0.0625,Random pairs
159,0.0,Random pairs
160,0.0,Random pairs
161,0.07692307692307693,Random pairs
162,0.0,Random pairs
163,0.0,Random pairs
164,0.0,Random pairs
165,0.06666666666666667,Random pairs
166,0.08333333333333333,Random pairs
167,0.05263157894736842,Random pairs
168,0.1875,Random pairs
169,0.17647058823529413,Random pairs
170,0.047619047619047616,Random pairs
171,0.0,Random pairs
172,0.0,Random pairs
173,0.16666666666666666,Random pairs
174,0.17391304347826086,Random pairs
175,0.07142857142857142,Random pairs
176,0.15789473684210525,Random pairs
177,0.16,Random pairs
178,0.06666666666666667,Random pairs
179,0.05,Random pairs
180,0.058823529411764705,Random pairs
181,0.05555555555555555,Random pairs
182,0.10526315789473684,Random pairs
183,0.08,Random pairs
184,0.0,Random pairs
185,0.05555555555555555,Random pairs
186,0.15,Random pairs
187,0.14814814814814814,Random pairs
188,0.125,Random pairs
0,0.1388888888888889,Individual pairs
1,0.12631578947368421,Individual pairs
2,0.12345679012345678,Individual pairs
3,0.25,Individual pairs
4,0.23529411764705882,Individual pairs
5,0.2564102564102564,Individual pairs
6,0.5,Individual pairs
7,0.4,Individual pairs
8,0.5263157894736842,Individual pairs
9,0.2608695652173913,Individual pairs
10,0.0625,Individual pairs
11,0.08955223880597014,Individual pairs
12,0.32,Individual pairs
13,0.42105263157894735,Individual pairs
14,0.5,Individual pairs
15,0.2777777777777778,Individual pairs
16,0.2631578947368421,Individual pairs
17,0.5625,Individual pairs
18,0.5517241379310345,Individual pairs
19,0.4117647058823529,Individual pairs
20,0.6666666666666666,Individual pairs
