index,L1 norm,Group
119,1.9839999999999993,Household pairs
120,1.7300000000000002,Household pairs
121,2.6990000000000003,Household pairs
122,2.645,Household pairs
123,2.3360000000000003,Household pairs
124,2.015,Household pairs
125,2.2719999999999994,Household pairs
126,2.003,Household pairs
127,2.6639999999999997,Household pairs
128,2.4309999999999996,Household pairs
129,2.0239999999999996,Household pairs
130,2.351,Household pairs
131,2.042,Household pairs
132,2.7739999999999996,Household pairs
133,2.5410000000000004,Household pairs
134,2.026,Household pairs
135,2.421,Household pairs
136,2.034,Household pairs
137,3.333,Household pairs
138,3.402,Household pairs
139,3.364,Household pairs
140,3.177999999999998,Household pairs
141,3.0189999999999992,Household pairs
142,1.7149999999999994,Household pairs
143,1.439,Household pairs
144,2.58,Household pairs
145,4.040999999999999,Household pairs
146,3.8819999999999992,Household pairs
147,2.9639999999999995,Household pairs
148,2.6879999999999997,Household pairs
149,3.4429999999999996,Household pairs
150,2.9799999999999986,Household pairs
151,2.8209999999999993,Household pairs
152,1.6109999999999993,Household pairs
153,1.335,Household pairs
154,2.3819999999999997,Household pairs
155,2.627999999999999,Household pairs
156,2.469,Household pairs
157,2.0929999999999995,Household pairs
158,1.8170000000000002,Household pairs
159,2.0300000000000002,Household pairs
160,3.1400000000000006,Household pairs
161,2.999,Household pairs
162,2.2540000000000004,Household pairs
163,3.2329999999999997,Household pairs
164,2.1100000000000003,Household pairs
165,3.1239999999999997,Household pairs
166,3.3729999999999993,Household pairs
167,2.659,Household pairs
168,3.1359999999999992,Household pairs
169,1.735,Household pairs
170,1.9840000000000002,Household pairs
171,1.27,Household pairs
172,1.859,Household pairs
173,2.5389999999999997,Household pairs
174,2.788,Household pairs
175,2.074,Household pairs
176,2.663,Household pairs
177,1.2269999999999999,Household pairs
178,1.5220000000000002,Household pairs
179,0.762,Household pairs
180,1.407,Household pairs
181,2.321,Household pairs
182,2.5700000000000007,Household pairs
183,1.8560000000000003,Household pairs
184,2.5010000000000003,Household pairs
185,2.6079999999999997,Household pairs
186,2.604,Household pairs
187,2.415,Household pairs
188,1.2190000000000003,Household pairs
189,1.215,Household pairs
190,1.0780000000000003,Household pairs
191,2.023,Household pairs
192,2.019,Household pairs
193,1.9059999999999997,Household pairs
194,0.7110000000000002,Household pairs
195,0.7530000000000001,Household pairs
